Complaint_ID,Complaint_Date,Complaint_Time,Complaint_Channel,Complainant_Age,Complainant_Gender,Complainant_State,Complainant_District,Complainant_City,Complainant_Pincode,Complainant_ID_Type,Incident_Date,Incident_Time,Incident_Type,Fraud_Type,Incident_Description,Incident_State,Incident_District,Incident_City,Incident_Location,Transaction_ID,Transaction_Amount,Payment_Mode,Bank_Name,ATM_ID,ATM_Location,Evidence_Available,Bank_Statement_Available,Transaction_Receipt_Available,Screenshot_Available
CMP_20260601_01129,2026-06-01,04:39:05,Bank Helpline,24,Male,Haryana,Gurugram,Gurgaon/Gurugram,573063,Driving License,2026-06-01,00:39:05,Financial Cyber-Fraud,UPI Phishing & Impersonation,Victim reported unauthorized transfer followed by ATM cashout ring in Gurgaon/Gurugram,Haryana,Gurugram,Gurgaon/Gurugram,Gurgaon/Gurugram Commercial Sector,TXN_20260601_052585,15000.0,UPI,State Bank of India,ATM_GUR_0463,"Shopping Mall Kiosk, Gurgaon/Gurugram",1,1,1,1
CMP_20260601_02758,2026-06-01,08:49:49,Cyber Cell Desk,23,Male,Jharkhand,Dhanbad,Dhanbad,276891,Govt Employee ID,2026-06-01,02:49:49,Financial Cyber-Fraud,UPI Phishing & Impersonation,Victim reported unauthorized transfer followed by ATM cashout ring in Dhanbad,Jharkhand,Dhanbad,Dhanbad,Dhanbad Commercial Sector,TXN_20260601_057472,75000.0,UPI,Punjab National Bank,ATM_DHA_0175,"Market Kiosk, Dhanbad",1,1,1,1
CMP_20260601_01009,2026-06-01,08:58:20,Police Station,69,Male,Delhi,Central Delhi,Delhi,165268,Driving License,2026-06-01,00:58:20,Financial Cyber-Fraud,Card Cloning,Victim reported unauthorized transfer followed by ATM cashout ring in Delhi,Delhi,Central Delhi,Delhi,Delhi Commercial Sector,TXN_20260601_052225,75000.0,UPI,HDFC Bank,ATM_DEL_0205,"Highway Kiosk, Delhi",1,1,1,1
CMP_20260601_01052,2026-06-01,13:57:40,Online Grievance,59,Male,Rajasthan,Alwar,Alwar,518054,Driving License,2026-06-01,11:57:40,Financial Cyber-Fraud,Unauthorized ATM Cash-Out,Victim reported unauthorized transfer followed by ATM cashout ring in Alwar,Rajasthan,Alwar,Alwar,Alwar Commercial Sector,TXN_20260601_052354,75000.0,UPI,IndusInd Bank,ATM_ALW_0260,"Railway Station Kiosk, Alwar",1,1,1,1
CMP_20260601_02891,2026-06-01,20:47:03,Police Station,21,Male,Haryana,Nuh,Punahana,652238,Passport,2026-06-01,10:47:03,Financial Cyber-Fraud,Investment / Task Scam,Victim reported unauthorized transfer followed by ATM cashout ring in Punahana,Haryana,Nuh,Punahana,Punahana Commercial Sector,TXN_20260601_057871,95000.0,UPI,HDFC Bank,ATM_PUN_0502,"Shopping Mall Kiosk, Punahana",1,1,1,1
CMP_20260601_01737,2026-06-01,21:36:30,NCRP 1930 Portal,63,Female,West Bengal,Kolkata,Kolkata,790186,Passport,2026-06-01,12:36:30,Financial Cyber-Fraud,Unauthorized ATM Cash-Out,Victim reported unauthorized transfer followed by ATM cashout ring in Kolkata,West Bengal,Kolkata,Kolkata,Kolkata Commercial Sector,TXN_20260601_054409,15000.0,UPI,HDFC Bank,ATM_KOL_0064,"Market Kiosk, Kolkata",1,1,0,0
CMP_20260601_00128,2026-06-01,23:32:48,Cyber Cell Desk,68,Male,Bihar,Patna,Patna,269974,Govt Employee ID,2026-06-01,13:32:48,Financial Cyber-Fraud,Unauthorized ATM Cash-Out,Victim reported unauthorized transfer followed by ATM cashout ring in Patna,Bihar,Patna,Patna,Patna Commercial Sector,TXN_20260601_049582,25000.0,UPI,ICICI Bank,ATM_PAT_0150,"Market Kiosk, Patna",1,1,1,0
CMP_20260602_02023,2026-06-02,00:33:01,NCRP 1930 Portal,44,Other,Bihar,Nalanda,Nalanda,767220,Govt Employee ID,2026-06-01,13:33:01,Financial Cyber-Fraud,Unauthorized ATM Cash-Out,Victim reported unauthorized transfer followed by ATM cashout ring in Nalanda,Bihar,Nalanda,Nalanda,Nalanda Commercial Sector,TXN_20260601_055267,95000.0,UPI,ICICI Bank,ATM_NAL_0355,"Railway Station Kiosk, Nalanda",1,1,1,0
CMP_20260602_01313,2026-06-02,01:28:01,Online Grievance,54,Male,Rajasthan,Alwar,Alwar,335878,Voter ID,2026-06-01,23:28:01,Financial Cyber-Fraud,Card Cloning,Victim reported unauthorized transfer followed by ATM cashout ring in Alwar,Rajasthan,Alwar,Alwar,Alwar Commercial Sector,TXN_20260601_053137,75000.0,UPI,Axis Bank,ATM_ALW_0580,"Bus Stand Kiosk, Alwar",1,1,1,0
CMP_20260602_02080,2026-06-02,03:28:28,NCRP 1930 Portal,57,Female,Delhi,Central Delhi,Delhi,183387,Govt Employee ID,2026-06-01,04:28:28,Financial Cyber-Fraud,UPI Phishing & Impersonation,Victim reported unauthorized transfer followed by ATM cashout ring in Delhi,Delhi,Central Delhi,Delhi,Delhi Commercial Sector,TXN_20260601_055438,75000.0,UPI,Axis Bank,ATM_DEL_0578,"Market Kiosk, Delhi",1,1,1,1
